rowname,Gm10847,Gm10851,Gm12752,Gm12753,Gm12801,Gm12802,Gm12818,Gm12832,Gm12864,Gm12877
AARD,1.283315013332879,2.312410006503895,15.65040736515049,1.1439589051191545,0.6993426576307151,1.4035011867508147,1.5334271536446324,0.47439989711679165,7.42721145485626,8.04956733247141
AARS1,1709.929968555604,1203.6649847384224,921.0804776220284,1807.5186598935707,1074.18072778852,1469.7761291728825,1803.840861120125,1817.372249854492,1687.7992877036047,1945.8178954903497
AARS1P1,0,0,0,0,0,0,0,0,0,0
AARS2,197.61118637873105,193.3873322438163,198.70018690225,232.73876485190436,184.60776097689583,266.12786477852706,207.23249681451773,265.3804369005609,208.25062952364598,196.74369633810238
AARSD1,130.62340117123966,129.81955740248497,135.3830181136679,141.54366847724197,119.74531029674586,133.17641960925812,119.31253674302765,149.71664707977797,132.51357818961185,132.67291075207027
AARSD1P1,1.1450043581526081,1.3752368459968844,0,1.3104614544316822,0,1.6317998110127314,1.8124656279546163,0.8444510614143811,1.097591941355848,0
AASDH,197.1268646785515,169.72253393239728,285.6141418811256,218.6469173976324,237.69952661053335,265.55861746166573,243.47102147694795,190.51915290809123,220.5116637278584,202.60840454894594
AASDHPPT,457.8266879953357,458.81188168303174,454.94824566406777,586.8430190642051,404.3493430722503,468.06574992123285,509.84668382528776,458.24044904312933,522.3919587815651,488.3786619665528
AASS,25.605692360357,41.68976079314351,30.04607542010352,187.2607358786172,130.178041262739,26.591251464243225,43.03148840523836,41.35643086389092,296.5967900776251,51.01348084785161
AATF,673.3017282124919,763.3083761421377,711.1128071499338,517.5668915894679,611.8849147576431,482.15725743487434,479.460077029022,636.65387242899385,572.2428918541237,619.1741895532127
AATK,2.0314661914705274,1.7892054452799906,0.7015039940673401,0,0,0,0,0,2.205228205308212,2.0036510429047025
ABAT,55.51199146024924,68.14412889404143,68.85896337766222,151.78124824639502,21.048029329908474,27.311449757630232,71.25673345991606,53.03305855922359,60.48433970017015,65.2066829698839
ABBA01000935.1,0,0,0,0,0,0.8345539377172466,0,0,0,0
ABBA01006766.1,0,0,0,0,0,0,0,0,0,0
ABBA01045074.1,0,0,0,0,0,0,0,0,0,0
ABBA01045074.2,0,0,0,0,0,0,0,0,0,0
ABCA1,9.017789136526913,4.062673425757873,1.03285907343698,5.480411373208759,2.470324446491077,2.49894479341021,1.8026108685448998,0.8345853158190963,2.157214830575823,1.1090968537360206
ABCA10,41.079524024032565,62.46231595301597,90.8418213006488,35.2616959272323,18.616742616531614,345.6450455491712,101.58407786450509,163.4693104523809,49.56403810857287,40.86225973068053
ABCA11P,12.582570454373101,24.602177663505742,28.465193967316516,9.715626039252937,19.66001043161527,20.225728590451787,14.028316878031157,13.370566105620526,15.353257515889855,10.765417888670598
ABCA12,54.40742368640897,316.1475458452881,2390.888747552958,403.30366832371794,64.47381205204753,65.6152612514843,419.89177698646546,277.856929952504,30.812132495907665,243.64274845061064
ABCA13,3.6452847754897792,3.7829494494929135,0,1.21753329110043,0,1.0376741104761211,4.244903296917749,3.461582191558212,2.393777765657722,0.45986085380485
