rowname	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
CRISP1	0	NA	NA	NA	NA	NA
DEFB133	0	NA	NA	NA	NA	NA
DEFB114	0	NA	NA	NA	NA	NA
DEFB113	0	NA	NA	NA	NA	NA
DEFB110	0	NA	NA	NA	NA	NA
DEFB112	0	NA	NA	NA	NA	NA
LOC100505985	0	NA	NA	NA	NA	NA
TFAP2D	0.12494123240459509	1.0090050248164217	3.160746997927919	0.3192299242798908	0.7495521668391496	NA
TFAP2B	6.8516066978230885	-1.6802487935880053	1.3715325142874852	-1.2250885604858583	0.22054185483067243	0.9944832763750364
LOC101927082	0	NA	NA	NA	NA	NA
PKHD1	6.588240807313696	-1.8645015990407703	1.591160348706835	-1.171787369234084	0.24128243500203314	0.9944832763750364
MIR206	0	NA	NA	NA	NA	NA
MIR133B	0	NA	NA	NA	NA	NA
IL17A	0.5426063732905183	2.7960322046403916	3.098296463092916	0.9024417895275312	0.3668222304247658	NA
LOC102724327	0	NA	NA	NA	NA	NA
IL17F	0	NA	NA	NA	NA	NA
MCM3	1209.0031252701801	-0.09811358255144781	0.13810023739296984	-0.7104519471046354	0.47742391945424617	0.9944832763750364
PAQR8	211.10613862965934	-0.059931281910698055	0.15483883177992827	-0.387055890449226	0.6987148317110247	0.9944832763750364
EFHC1	83.9536034493388	0.7302859074224768	0.2754129716541909	2.6516031653709664	0.00801106352689798	0.6287803970008915
TRAM2	244.18018269594808	0.4136982484768357	0.2659059571329688	1.5558066202704965	0.11975408341978767	0.9944832763750364
TRAM2-AS1	41.17526133093368	0.7214452247344604	0.2816012944201435	2.5619385955594316	0.010408972000112243	0.6703527200645762
LOC730101	126.43071084698171	0.9466960041304631	0.37407811940802455	2.530744128067692	0.01138208463954095	0.6860030107300068
TMEM14A	73.0596821986551	0.3015827840515385	0.2733123578288775	1.1034363262870144	0.2698377286631941	0.9944832763750364
GSTA7P	0	NA	NA	NA	NA	NA
GSTA2	0	NA	NA	NA	NA	NA
GSTA1	0	NA	NA	NA	NA	NA
GSTA5	0	NA	NA	NA	NA	NA
GSTA3	0.11582046131555006	-0.14513659473454935	3.160746997927919	-0.04591844738908115	0.9633752507948016	NA
GSTA4	25.536997156777673	0.8221497878628831	0.4874408883038266	1.6866656195457062	0.09166766649053182	0.9809796023753844
